time,symbol,side,,q,p
2020-07-31T09:21:06.432,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:06.515,BNBBTC,BUY,MARKET,0.12,0.0018431
2020-07-31T09:21:06.632,LTCBNB,BUY,MARKET,0.05,2.771
2020-07-31T09:21:06.728,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:06.839,BNBBTC,BUY,MARKET,0.12,0.001843
2020-07-31T09:21:07.452,LTCBNB,BUY,MARKET,0.05,2.771
2020-07-31T09:21:13.1,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:13.1,BNBBTC,BUY,MARKET,0.12,0.0018431
2020-07-31T09:21:13.104,BNBBTC,BUY,MARKET,0.12,0.0018431
2020-07-31T09:21:13.104,LTCBNB,BUY,MARKET,0.05,2.771
2020-07-31T09:21:13.118,LTCBNB,BUY,MARKET,0.05,2.771
2020-07-31T09:21:13.123,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:13.229,BNBBTC,BUY,MARKET,0.12,0.0018431
2020-07-31T09:21:13.405,LTCBNB,BUY,MARKET,0.05,2.771
2020-07-31T09:21:13.412,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:13.416,LTCBTC,SELL,MARKET,0.05,0.005105
2020-07-31T09:21:13.417,BNBBTC,BUY,MARKET,0.12,0.0018431
2020-07-31T09:21:13.423,BNBBTC,BUY,MARKET,0.12,0.0018431
